delivery_person_id,name,region,hired_date,is_active
1,Chris Jackson,Westfield,2025-03-06,True
2,Cameron Davis,Old Town,2025-06-15,True
3,Riley Lee,Uptown,2024-12-14,True
4,Morgan Harris,Harbor View,2025-09-10,True
5,Emerson Lewis,Eastgate,2024-07-12,True
6,Jordan Wilson,Downtown,2024-03-11,True
7,Riley Lee,Eastgate,2024-11-10,True
8,Robin Miller,Sunset Hills,2025-05-04,True
9,Emerson Harris,Uptown,2025-09-15,False
10,Kendall Lewis,Westfield,2024-05-10,True
11,Rowan Jackson,Old Town,2025-11-01,True
12,Taylor Clark,Sunset Hills,2026-03-12,True
13,Chris Brown,Uptown,2024-03-24,True
14,Hayden Lee,Harbor View,2025-05-19,True
15,Reese Clark,Westfield,2024-11-24,True
16,Alex Garcia,Westfield,2024-04-17,True
17,Chris Taylor,Harbor View,2026-01-03,True
18,Kendall Moore,Uptown,2025-01-10,True
19,Emerson Taylor,Eastgate,2026-01-08,True
20,Morgan Lewis,Downtown,2024-10-08,True
21,Alex Garcia,Old Town,2024-03-09,True
22,Jordan Wilson,Riverside,2026-03-18,True
23,Sam Lewis,Uptown,2026-02-02,True
24,Peyton Davis,Westfield,2024-12-20,True
25,Quinn Miller,Eastgate,2024-06-13,True
26,Finley Thomas,Sunset Hills,2024-12-31,True
27,Casey Wilson,Riverside,2025-07-02,False
28,Peyton Wilson,Eastgate,2026-06-06,False
29,Emerson Johnson,Eastgate,2026-04-05,True
30,Robin Lee,Eastgate,2025-09-01,True
31,Jamie Lewis,Uptown,2024-06-03,True
32,Rowan Young,Sunset Hills,2025-10-08,True
33,Quinn Miller,Riverside,2026-03-06,True
34,Cameron White,Harbor View,2025-02-20,True
35,Jordan Garcia,Downtown,2025-04-27,True
36,Chris Wilson,Eastgate,2025-12-01,True
37,Taylor White,Uptown,2025-09-01,True
38,Sam Harris,Riverside,2026-04-23,True
39,Peyton Smith,Riverside,2024-05-03,True
40,Morgan White,Sunset Hills,2025-02-06,True
